Year,Income,Gender,Industry
2013,50013 ,Female,Advertising and Marketing
2014,50527 ,Female,Advertising and Marketing
2015,50890 ,Female,Advertising and Marketing
2016,48112 ,Female,Advertising and Marketing
2017,46897 ,Female,Advertising and Marketing
2018,48048 ,Female,Advertising and Marketing
2019,51450 ,Female,Advertising and Marketing
2020,51284 ,Female,Advertising and Marketing
2006,63469 ,Male,Design
2007,67798 ,Male,Design
2008,75662 ,Male,Design
2009,58325 ,Male,Design
2010,58812 ,Male,Design
2011,62549 ,Male,Design
2012,63354 ,Male,Design
2013,60048 ,Male,Design
2014,63519 ,Male,Design
2015,66045 ,Male,Design
2016,66020 ,Male,Design
2017,66083 ,Male,Design
2018,68037 ,Male,Design
2019,70023 ,Male,Design
2020,71202 ,Male,Design
2006,47911 ,Female,Design
2007,50342 ,Female,Design
2008,55881 ,Female,Design
2009,44418 ,Female,Design
2010,45573 ,Female,Design
2011,46317 ,Female,Design
2012,48562 ,Female,Design
2013,48856 ,Female,Design
2014,49705 ,Female,Design
2015,51562 ,Female,Design
2016,52298 ,Female,Design
2017,54394 ,Female,Design
2018,53995 ,Female,Design
2019,57825 ,Female,Design
2020,53411 ,Female,Design
2006,47309 ,Male,Art and Performance
2007,44876 ,Male,Art and Performance
2008,44792 ,Male,Art and Performance
2009,47521 ,Male,Art and Performance
2010,46740 ,Male,Art and Performance
2011,43737 ,Male,Art and Performance
2012,48775 ,Male,Art and Performance
2013,49029 ,Male,Art and Performance
2014,42969 ,Male,Art and Performance
2015,40501 ,Male,Art and Performance
2016,41535 ,Male,Art and Performance
2017,43292 ,Male,Art and Performance
2018,45218 ,Male,Art and Performance
2019,44416 ,Male,Art and Performance
2020,45055 ,Male,Art and Performance
2006,27670 ,Female,Art and Performance
2007,27519 ,Female,Art and Performance
2008,27416 ,Female,Art and Performance
2009,30928 ,Female,Art and Performance
2010,31789 ,Female,Art and Performance
2011,30920 ,Female,Art and Performance
2012,33978 ,Female,Art and Performance
2013,35576 ,Female,Art and Performance
2014,35644 ,Female,Art and Performance
2015,35599 ,Female,Art and Performance
2016,37823 ,Female,Art and Performance
2017,38692 ,Female,Art and Performance
2018,42287 ,Female,Art and Performance
2019,43580 ,Female,Art and Performance
2020,41367 ,Female,Art and Performance
2006,36993 ,Male,Sports and Leisure Entertainment
2007,36985 ,Male,Sports and Leisure Entertainment
2008,37874 ,Male,Sports and Leisure Entertainment
2009,36227 ,Male,Sports and Leisure Entertainment
2010,37922 ,Male,Sports and Leisure Entertainment
2011,38694 ,Male,Sports and Leisure Entertainment
2012,40993 ,Male,Sports and Leisure Entertainment
2013,41529 ,Male,Sports and Leisure Entertainment
2014,41993 ,Male,Sports and Leisure Entertainment
2015,44069 ,Male,Sports and Leisure Entertainment
2016,44900 ,Male,Sports and Leisure Entertainment
2017,45909 ,Male,Sports and Leisure Entertainment
2018,46802 ,Male,Sports and Leisure Entertainment
2019,47745 ,Male,Sports and Leisure Entertainment
2020,49482 ,Male,Sports and Leisure Entertainment
2006,24954 ,Female,Sports and Leisure Entertainment
2007,25058 ,Female,Sports and Leisure Entertainment
2008,25122 ,Female,Sports and Leisure Entertainment
2009,24131 ,Female,Sports and Leisure Entertainment
2010,25431 ,Female,Sports and Leisure Entertainment
2011,26284 ,Female,Sports and Leisure Entertainment
2012,27463 ,Female,Sports and Leisure Entertainment
2013,27696 ,Female,Sports and Leisure Entertainment
2014,27653 ,Female,Sports and Leisure Entertainment
2015,27077 ,Female,Sports and Leisure Entertainment
2016,27061 ,Female,Sports and Leisure Entertainment
2017,27026 ,Female,Sports and Leisure Entertainment
2018,28016 ,Female,Sports and Leisure Entertainment
2019,28888 ,Female,Sports and Leisure Entertainment
2020,30002 ,Female,Sports and Leisure Entertainment
